sample	contig	phylum
ERR315859	k141_519138	Pseudomonadota
ERR315859	k141_389351	Pseudomonadota
ERR315859	k141_821950	Bacteroidota
ERR315859	k141_216416	Pseudomonadota
ERR315859	k141_692276	Cyanobacteriota
ERR315859	k141_562525	Bacillota
ERR315859	k141_173203	Pseudomonadota
ERR315859	k141_346238	Bacillota
ERR315859	k141_86680	Pseudomonadota
ERR315859	k141_778892	Pseudomonadota
ERR315859	k141_259817	Cyanobacteriota
ERR315859	k141_735686	Bacteroidota
ERR315859	k141_778994	Bacillota
ERR315859	k141_324	Pseudomonadota
ERR315859	k141_432933	Pseudomonadota
ERR315859	k141_605977	Pseudomonadota
ERR315859	k141_130188	Pseudomonadota
ERR315859	k141_562752	Bacillota
ERR315859	k141_519625	Pseudomonadota
ERR315859	k141_822321	Pseudomonadota
ERR315859	k141_779119	Bacillota
ERR315859	k141_43697	Cyanobacteriota
ERR315859	k141_389886	Cyanobacteriota
ERR315859	k141_173580	Pseudomonadota
ERR315859	k141_87105	Bacillota
ERR315859	k141_822395	Bacillota
ERR315859	k141_216836	Pseudomonadota
ERR315859	k141_346672	Planctomycetota
ERR315859	k141_779204	Bacteroidota
ERR315859	k141_130464	Pseudomonadota
ERR315859	k141_390069	Cyanobacteriota
ERR315859	k141_260284	Pseudomonadota
ERR315859	k141_779410	Bacteroidota
ERR315859	k141_476671	Pseudomonadota
ERR315859	k141_87377	Pseudomonadota
ERR315859	k141_87379	Pseudomonadota
ERR315859	k141_606409	Pseudomonadota
ERR315859	k141_649820	Pseudomonadota
ERR315859	k141_130767	Pseudomonadota
ERR315859	k141_736450	Pseudomonadota
ERR315859	k141_476881	Pseudomonadota
ERR315859	k141_390488	Pseudomonadota
ERR315859	k141_476998	Pseudomonadota
ERR315859	k141_433717	Pseudomonadota
ERR315859	k141_347403	Cyanobacteriota
ERR315859	k141_650162	Pseudomonadota
ERR315859	k141_1439	Pseudomonadota
ERR315859	k141_693463	Bacillota
ERR315859	k141_736866	Cyanobacteriota
ERR315859	k141_693490	Pseudomonadota
ERR315859	k141_563621	Pseudomonadota
ERR315859	k141_131251	Pseudomonadota
ERR315859	k141_347498	Bacillota
ERR315859	k141_390790	Cyanobacteriota
ERR315859	k141_823287	Pseudomonadota
ERR315859	k141_131263	Cyanobacteriota
ERR315859	k141_217781	Cyanobacteriota
ERR315859	k141_174707	Pseudomonadota
ERR315859	k141_607233	Pseudomonadota
ERR315859	k141_693704	Pseudomonadota
ERR315859	k141_737162	Bacillota
ERR315859	k141_780379	Pseudomonadota
ERR315859	k141_45033	Cyanobacteriota
ERR315859	k141_477579	Cyanobacteriota
ERR315859	k141_693740	Cyanobacteriota
ERR315859	k141_477597	Cyanobacteriota
ERR315859	k141_434221	Cyanobacteriota
ERR315859	k141_607360	Pseudomonadota
ERR315859	k141_45136	Pseudomonadota
ERR315859	k141_218139	Pseudomonadota
ERR315859	k141_131698	Bacillota
ERR315859	k141_780522	Cyanobacteriota
ERR315859	k141_823746	Bacteroidota
ERR315859	k141_348012	Pseudomonadota
ERR315859	k141_693966	Bacillota
ERR315859	k141_737416	Pseudomonadota
ERR315859	k141_88622	Cyanobacteriota
ERR315859	k141_693976	Pseudomonadota
ERR315859	k141_2180	Pseudomonadota
ERR315859	k141_521280	Planctomycetota
ERR315859	k141_478000	Pseudomonadota
ERR315859	k141_348189	Pseudomonadota
ERR315859	k141_434609	Bacillota
ERR315859	k141_651113	Actinomycetota
ERR315859	k141_2269	Pseudomonadota
ERR315859	k141_132021	Pseudomonadota
ERR315859	k141_478040	Bacteroidota
ERR315859	k141_694171	Pseudomonadota
