Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
ERR315859_1_t	ERR315859_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37086208.0	0.0	15-108	38.0	97.3580416604845	105.91001684507621	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	pass	pass
ERR315859_1_up	ERR315859_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3966.0	0.0	30-108	50.0	32.34997478567826	63.02269288956127	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	warn
ERR315859_2_t	ERR315859_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37086208.0	0.0	15-108	38.0	97.4776070952743	105.96985876798189	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	pass	pass
ERR315859_2_up	ERR315859_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8974.0	0.0	25-108	48.0	52.29552039224426	68.22219745932695	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass	warn
ERR594308_1_t	ERR594308_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78655760.0	0.0	15-101	40.0	87.09941765632495	99.643826160983	pass	pass	fail	pass	pass	fail	warn	warn	pass	pass	pass	pass
ERR594308_1_up	ERR594308_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1317818.0	0.0	15-101	47.0	98.20888004974626	99.71043497660527	pass	fail	fail	pass	pass	fail	warn	warn	pass	pass	pass	fail
ERR594308_2_t	ERR594308_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78655760.0	0.0	15-101	40.0	86.91606069582636	99.64403115550597	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	pass	pass
ERR594308_2_up	ERR594308_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	902136.0	0.0	16-101	47.0	99.37705090031514	99.80353959935087	pass	fail	fail	pass	pass	fail	pass	warn	pass	pass	pass	warn
ERR594312_1_t	ERR594312_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75885008.0	0.0	15-101	43.0	86.83155465909776	99.934725104068	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass	pass
ERR594312_1_up	ERR594312_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1366387.0	0.0	15-101	48.0	96.59439654497211	99.79286249064138	pass	fail	warn	pass	pass	pass	pass	warn	pass	warn	pass	fail
ERR594312_2_t	ERR594312_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75885008.0	0.0	15-101	43.0	86.47907034964491	99.94093225897795	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass	pass
ERR594312_2_up	ERR594312_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1012152.0	0.0	15-101	49.0	97.7191409676692	99.78259391869996	pass	fail	warn	pass	pass	pass	pass	warn	pass	pass	pass	fail
ERR599168_1_t	ERR599168_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48143577.0	0.0	30-151	35.0	97.27271970186958	142.97058442500025	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	fail
ERR599168_1_up	ERR599168_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	150.0	0.0	30-151	31.0	100.0	129.14666666666668	pass	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass	fail
ERR599168_2_t	ERR599168_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48143577.0	0.0	30-151	34.0	97.39167225087877	142.4762354488118	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	fail
ERR599168_2_up	ERR599168_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14.0	0.0	81-151	34.0	100.0	137.42857142857142	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass	pass
SRR3719657_1_t	SRR3719657_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50746714.0	0.0	31-150	39.0	90.74231817587184	149.85691767155603	pass	pass		pass	warn	warn	pass	warn	pass	warn	pass	fail
SRR3719657_1_up	SRR3719657_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2682441.0	0.0	31-150	46.0	95.21502116626085	149.90231024652545	pass	fail		warn	warn	fail	pass	warn	pass	fail	pass	fail
SRR3719657_2_t	SRR3719657_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50746714.0	0.0	31-150	40.0	90.86231810735126	149.85691767155603	pass	pass		pass	warn	warn	pass	warn	pass	warn	pass	fail
SRR3719657_2_up	SRR3719657_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	463607.0	0.0	33-150	45.0	98.10882820541815	149.76403936955222	pass	fail		pass	warn	fail	pass	warn	pass	warn	pass	fail
SRR3727512_1_t	SRR3727512_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70044499.0	0.0	15-101	54.0	89.63181211245306	95.88826691443678	pass	pass		pass	warn	fail	pass	warn	pass	pass	pass	pass
