Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
ERR315859_1_t	ERR315859_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37086208.0	0.0	15-108	38.0	97.3580416604845	105.91001684507621	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	pass	pass
ERR315859_2_t	ERR315859_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37086208.0	0.0	15-108	38.0	97.4776070952743	105.96985876798189	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	pass	pass
ERR594308_1_t	ERR594308_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78655760.0	0.0	15-101	40.0	87.09941765632495	99.643826160983	pass	pass	fail	pass	pass	fail	warn	warn	pass	pass	pass	pass
ERR594308_2_t	ERR594308_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78655760.0	0.0	15-101	40.0	86.91606069582636	99.64403115550597	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	pass	pass
ERR594312_1_t	ERR594312_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75885008.0	0.0	15-101	43.0	86.83155465909776	99.934725104068	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass	pass
ERR594312_2_t	ERR594312_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75885008.0	0.0	15-101	43.0	86.47907034964491	99.94093225897795	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass	pass
ERR599168_1_t	ERR599168_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48143577.0	0.0	30-151	35.0	97.27271970186958	142.97058442500025	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	fail
ERR599168_2_t	ERR599168_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48143577.0	0.0	30-151	34.0	97.39167225087877	142.4762354488118	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	fail
SRR3719657_1_t	SRR3719657_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50746714.0	0.0	31-150	39.0	90.74231817587184	149.85691767155603	pass	pass		pass	warn	warn	pass	warn	pass	warn	pass	fail
SRR3719657_2_t	SRR3719657_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50746714.0	0.0	31-150	40.0	90.86231810735126	149.85691767155603	pass	pass		pass	warn	warn	pass	warn	pass	warn	pass	fail
SRR3727512_1_t	SRR3727512_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70044499.0	0.0	15-101	54.0	89.63181211245306	95.88826691443678	pass	pass		pass	warn	fail	pass	warn	pass	pass	pass	pass
SRR3727512_2_t	SRR3727512_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70044499.0	0.0	15-101	54.0	89.67506574641386	95.89008395934134	pass	pass		pass	warn	fail	pass	warn	pass	pass	pass	pass
SRR3943823_1_t	SRR3943823_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44626301.0	0.0	31-150	53.0	95.37311289861776	149.91660695785654	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass	pass
SRR3943823_2_t	SRR3943823_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44626301.0	0.0	31-150	53.0	95.51820688628614	149.91660695785654	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass	pass
SRR3952299_1_t	SRR3952299_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38438811.0	0.0	15-250	42.0	98.4598830911401	248.27611171427753	pass	fail	warn	pass	pass	fail	pass	warn	pass	pass	pass	fail
SRR3952299_2_t	SRR3952299_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38438811.0	0.0	15-250	42.0	98.36793104925945	248.28076375723484	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	pass	fail
SRR3979410_1_t	SRR3979410_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29760621.0	0.0	31-150	62.0	99.9602517278519	149.93826479628902	pass	fail		pass	fail	warn	pass	warn	pass	pass	pass	fail
