Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
ERR315859_1	ERR315859_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37184688.0	0.0	30-108	38.0	97.11229034378125	105.9973432075052	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	pass	fail
ERR315859_2	ERR315859_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37184688.0	0.0	30-108	38.0	97.27131434655082	106.0652604104141	pass	pass	warn	pass	pass	fail	pass	warn	pass	pass	pass	fail
ERR594308_1	ERR594308_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81572153.0	0.0	101.0	40.0	86.76479340552434	101.0	pass	pass	fail	pass	pass	fail	warn	pass	pass	warn	pass	fail
ERR594308_2	ERR594308_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81572153.0	0.0	101.0	40.0	86.97364521507242	101.0	pass	pass	fail	pass	pass	fail	pass	pass	pass	pass	pass	fail
ERR594312_1	ERR594312_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78766778.0	0.0	101.0	43.0	86.59776932307557	101.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass	fail
ERR594312_2	ERR594312_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78766778.0	0.0	101.0	43.0	86.41548922432631	101.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass	pass
ERR599168_1	ERR599168_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48143741.0	0.0	30-151	35.0	97.27271787107166	142.98424765121598	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	fail
ERR599168_2	ERR599168_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48143741.0	0.0	30-151	34.0	97.39117193266866	142.5247612353182	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	fail
SRR3719657_1	SRR3719657_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54529113.0	0.0	150.0	40.0	90.45344706733725	150.0	pass	pass		pass	warn	warn	pass	pass	pass	warn	pass	fail
SRR3719657_2	SRR3719657_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54529113.0	0.0	150.0	40.0	90.81747570150688	150.0	pass	pass		pass	warn	warn	pass	pass	pass	warn	pass	fail
