contigID	sample	contig	BGC category	BGC product	core start	core end	NRPS	PKS	RiPP	other	terpene
SRR3727512_k141_871013	SRR3727512	k141_871013	terpene	terpene	10439	11525	0	0	0	0	1
SRR3727512_k141_381700	SRR3727512	k141_381700	terpene	terpene	9351	10599	0	0	0	0	1
SRR3727512_k141_654536	SRR3727512	k141_654536	terpene	terpene	9872	10613	0	0	0	0	1
SRR3727512_k141_872206	SRR3727512	k141_872206	NRPS	NRPS-like	2420	5825	1	0	0	0	0
SRR3727512_k141_383872	SRR3727512	k141_383872	terpene	terpene	24662	35261	0	0	0	0	1
SRR3727512_k141_874329	SRR3727512	k141_874329	RiPP	lanthipeptide-class-ii	369	3567	0	0	1	0	0
SRR3727512_k141_384436	SRR3727512	k141_384436	other	ectoine	6606	7005	0	0	0	1	0
SRR3727512_k141_766454	SRR3727512	k141_766454	terpene	terpene	43075	43912	0	0	0	0	1
SRR3727512_k141_766597	SRR3727512	k141_766597	PKS	T3PKS	13124	14246	0	1	0	0	0
SRR3727512_k141_985590	SRR3727512	k141_985590	terpene	terpene	9232	11052	0	0	0	0	1
SRR3727512_k141_114702	SRR3727512	k141_114702	terpene	terpene	17741	19779	0	0	0	0	1
SRR3727512_k141_169040	SRR3727512	k141_169040	NRPS	NRPS	19700	31712	1	0	0	0	0
SRR3727512_k141_169040	SRR3727512	k141_169040	NRPS	NRPS	19700	31712	1	0	0	0	0
SRR3727512_k141_1042828	SRR3727512	k141_1042828	terpene	terpene	24092	24944	0	0	0	0	1
SRR3727512_k141_281854	SRR3727512	k141_281854	NRPS	NRPS-like	8292	11655	1	0	0	0	0
SRR3727512_k141_65300	SRR3727512	k141_65300	NRPS	NRPS-like	14052	19209	1	0	0	0	0
SRR3727512_k141_718132	SRR3727512	k141_718132	other	betalactone	4318	16502	0	0	0	1	0
SRR3727512_k141_881579	SRR3727512	k141_881579	terpene	terpene	5689	6529	0	0	0	0	1
SRR3727512_k141_283396	SRR3727512	k141_283396	terpene	terpene	34669	35857	0	0	0	0	1
SRR3727512_k141_392380	SRR3727512	k141_392380	terpene	terpene	4291	5239	0	0	0	0	1
SRR3727512_k141_831225	SRR3727512	k141_831225	terpene	terpene	26442	27282	0	0	0	0	1
SRR3727512_k141_124232	SRR3727512	k141_124232	other	betalactone	17513	26751	0	0	0	1	0
SRR3727512_k141_454093	SRR3727512	k141_454093	NRPS	NRPS-like	144	2817	1	0	0	0	0
SRR3727512_k141_239241	SRR3727512	k141_239241	NRPS	NRPS-like	322	6397	1	0	0	0	0
SRR3727512_k141_566030	SRR3727512	k141_566030	terpene	terpene	16686	18558	0	0	0	0	1
SRR3727512_k141_1054819	SRR3727512	k141_1054819	NRPS	NRPS-like	2016	16452	1	0	0	0	0
SRR3727512_k141_566769	SRR3727512	k141_566769	terpene	terpene	24079	25327	0	0	0	0	1
SRR3727512_k141_893576	SRR3727512	k141_893576	terpene	terpene	3264	4500	0	0	0	0	1
SRR3727512_k141_894616	SRR3727512	k141_894616	terpene	terpene	31272	32205	0	0	0	0	1
SRR3727512_k141_569015	SRR3727512	k141_569015	terpene	terpene	21711	37494	0	0	0	0	1
SRR3727512_k141_26733	SRR3727512	k141_26733	NRPS	NRPS-like	25083	29385	1	0	0	0	0
SRR3727512_k141_462777	SRR3727512	k141_462777	terpene	terpene	33794	35387	0	0	0	0	1
SRR3727512_k141_898026	SRR3727512	k141_898026	PKS	T3PKS	1765	2860	0	1	0	0	0
SRR3727512_k141_1060075	SRR3727512	k141_1060075	terpene	terpene	22345	24372	0	0	0	0	1
SRR3727512_k141_627669	SRR3727512	k141_627669	terpene	terpene	15109	16252	0	0	0	0	1
SRR3727512_k141_956216	SRR3727512	k141_956216	terpene	terpene	5789	7827	0	0	0	0	1
SRR3727512_k141_468161	SRR3727512	k141_468161	other	hserlactone	4884	5496	0	0	0	1	0
SRR3727512_k141_87381	SRR3727512	k141_87381	terpene	terpene	1519	2467	0	0	0	0	1
SRR3727512_k141_470752	SRR3727512	k141_470752	terpene	terpene	9761	10706	0	0	0	0	1
SRR3727512_k141_741511	SRR3727512	k141_741511	terpene	terpene	3308	7963	0	0	0	0	1
SRR3727512_k141_526119	SRR3727512	k141_526119	NRPS	NRPS-like	20250	26520	1	0	0	0	0
SRR3727512_k141_307686	SRR3727512	k141_307686	terpene	terpene	10514	12311	0	0	0	0	1
SRR3727512_k141_253987	SRR3727512	k141_253987	RiPP	RRE-containing	8916	9195	0	0	1	0	0
SRR3727512_k141_91938	SRR3727512	k141_91938	RiPP	RiPP-like	10435	11266	0	0	1	0	0
SRR3727512_k141_636794	SRR3727512	k141_636794	NRPS	NRPS-like	571	6646	1	0	0	0	0
SRR3727512_k141_582723	SRR3727512	k141_582723	PKS	T3PKS	20510	21572	0	1	0	0	0
SRR3727512_k141_201708	SRR3727512	k141_201708	terpene	terpene	7388	8336	0	0	0	0	1
SRR3727512_k141_419451	SRR3727512	k141_419451	terpene	terpene	11787	13816	0	0	0	0	1
SRR3727512_k141_584283	SRR3727512	k141_584283	other	betalactone	2050	9430	0	0	0	1	0
SRR3727512_k141_95469	SRR3727512	k141_95469	PKS	arylpolyene	5102	6287	0	1	0	0	0
SRR3727512_k141_477126	SRR3727512	k141_477126	terpene	terpene	10921	11428	0	0	0	0	1
SRR3727512_k141_477415	SRR3727512	k141_477415	terpene	terpene	1	508	0	0	0	0	1
SRR3727512_k141_695818	SRR3727512	k141_695818	NRPS	NRPS-like	3233	11822	1	0	0	0	0
SRR3727512_k141_695818	SRR3727512	k141_695818	NRPS	NRPS-like	3233	11822	1	0	0	0	0
SRR3727512_k141_155207	SRR3727512	k141_155207	other	hserlactone	2511	3099	0	0	0	1	0
SRR3727512_k141_101116	SRR3727512	k141_101116	NRPS	NRPS-like	12084	16368	1	0	0	0	0
SRR3727512_k141_700928	SRR3727512	k141_700928	terpene	terpene	2	866	0	0	0	0	1
SRR3727512_k141_918779	SRR3727512	k141_918779	terpene	terpene	15835	16744	0	0	0	0	1
SRR3727512_k141_920085	SRR3727512	k141_920085	other	betalactone	29476	35260	0	0	0	1	0
SRR3727512_k141_377362	SRR3727512	k141_377362	terpene	terpene	6894	11543	0	0	0	0	1
SRR3727512_k141_757168	SRR3727512	k141_757168	PKS	T3PKS	9727	10921	0	1	0	0	0
SRR3727512_k141_867564	SRR3727512	k141_867564	terpene	terpene	2	1229	0	0	0	0	1
SRR3727512_k141_380891	SRR3727512	k141_380891	terpene	terpene	80	2348	0	0	0	0	1
SRR3727512_k141_760326	SRR3727512	k141_760326	NRPS	NRPS-like	8319	10983	1	0	0	0	0
SRR3727512_k141_216486	SRR3727512	k141_216486	terpene	terpene	8185	9553	0	0	0	0	1
SRR3727512_k141_924386	SRR3727512	k141_924386	NRPS	NRPS-like	12155	14831	1	0	0	0	0
