contigID	sample	contig	BGC category	BGC product	core start	core end	NRPS	RiPP	terpene
SRR5262247_k141_1983972	SRR5262247	k141_1983972	NRPS	NAPAA	8232	12267	1	0	0
SRR5262247_k141_558605	SRR5262247	k141_558605	RiPP	RiPP-like	9636	10236	0	1	0
SRR5262247_k141_690894	SRR5262247	k141_690894	NRPS	NRPS-like	2	1436	1	0	0
SRR5262247_k141_3367026	SRR5262247	k141_3367026	NRPS	NRPS	7619	13823	1	0	0
SRR5262247_k141_2499837	SRR5262247	k141_2499837	terpene	terpene	3475	6621	0	0	1
