contigID	sample	contig	BGC category	BGC product	core start	core end	NRPS	PKS	RiPP	other	terpene
ERR315859_k141_779119	ERR315859	k141_779119	terpene	terpene	20928	21966	0	0	0	0	1
ERR315859_k141_608146	ERR315859	k141_608146	NRPS	NRPS-like	10570	13273	1	0	0	0	0
ERR315859_k141_652038	ERR315859	k141_652038	terpene	terpene	16455	17202	0	0	0	0	1
ERR315859_k141_306755	ERR315859	k141_306755	other	betalactone	8057	13827	0	0	0	1	0
ERR315859_k141_91088	ERR315859	k141_91088	other	betalactone	5018	10791	0	0	0	1	0
ERR315859_k141_612010	ERR315859	k141_612010	terpene	terpene	3690	15235	0	0	0	0	1
ERR315859_k141_180266	ERR315859	k141_180266	other	hserlactone	13067	13796	0	0	0	1	0
ERR315859_k141_703418	ERR315859	k141_703418	PKS	T1PKS	1	6868	0	1	0	0	0
ERR315859_k141_618701	ERR315859	k141_618701	terpene	terpene	25942	27833	0	0	0	0	1
ERR315859_k141_576943	ERR315859	k141_576943	terpene	terpene	9745	10081	0	0	0	0	1
ERR315859_k141_709537	ERR315859	k141_709537	terpene	terpene	56876	57755	0	0	0	0	1
ERR315859_k141_322364	ERR315859	k141_322364	NRPS	NRPS-like	1549	4972	1	0	0	0	0
ERR315859_k141_323117	ERR315859	k141_323117	other	betalactone	8006	11561	0	0	0	1	0
ERR315859_k141_410642	ERR315859	k141_410642	terpene	terpene	9600	10608	0	0	0	0	1
ERR315859_k141_670109	ERR315859	k141_670109	other	betalactone	15571	28845	0	0	0	1	0
ERR315859_k141_366314	ERR315859	k141_366314	PKS	arylpolyene	19558	20758	0	1	0	0	0
ERR315859_k141_543207	ERR315859	k141_543207	RiPP	RiPP-like	8514	9132	0	0	1	0	0
ERR315859_k141_586988	ERR315859	k141_586988	other	hydrogen-cyanide	18138	21082	0	0	0	1	0
ERR315859_k141_716950	ERR315859	k141_716950	PKS	arylpolyene	5373	6573	0	1	0	0	0
ERR315859_k141_114013	ERR315859	k141_114013	other	betalactone	4316	11153	0	0	0	1	0
ERR315859_k141_159094	ERR315859	k141_159094	terpene	terpene	1725	3864	0	0	0	0	1
ERR315859_k141_720556	ERR315859	k141_720556	terpene	terpene	0	900	0	0	0	0	1
ERR315859_k141_635339	ERR315859	k141_635339	PKS	arylpolyene	25955	27152	0	1	0	0	0
ERR315859_k141_203332	ERR315859	k141_203332	terpene	terpene	15249	16158	0	0	0	0	1
ERR315859_k141_766839	ERR315859	k141_766839	PKS	T3PKS	11433	12528	0	1	0	0	0
ERR315859_k141_375939	ERR315859	k141_375939	terpene	terpene	11218	13225	0	0	0	0	1
ERR315859_k141_592685	ERR315859	k141_592685	terpene	terpene	12576	13317	0	0	0	0	1
ERR315859_k141_510288	ERR315859	k141_510288	terpene	terpene	2602	4483	0	0	0	0	1
ERR315859_k141_34709	ERR315859	k141_34709	terpene	terpene	14319	15372	0	0	0	0	1
ERR315859_k141_732680	ERR315859	k141_732680	PKS	T3PKS	16984	18106	0	1	0	0	0
