contigID	sample	contig	BGC category	BGC product	core start	core end	other	terpene
ERR599168_k141_15409	ERR599168	k141_15409	terpene	terpene	31774	32614	0	1
ERR599168_k141_517018	ERR599168	k141_517018	terpene	terpene	6406	8764	0	1
ERR599168_k141_274349	ERR599168	k141_274349	other	betalactone	1371	7142	1	0
ERR599168_k141_1103181	ERR599168	k141_1103181	terpene	terpene	2541	4919	0	1
ERR599168_k141_450792	ERR599168	k141_450792	other	betalactone	7756	11310	1	0
ERR599168_k141_1125054	ERR599168	k141_1125054	other	other	3188	4244	1	0
ERR599168_k141_883282	ERR599168	k141_883282	other	betalactone	18104	21632	1	0
ERR599168_k141_1133309	ERR599168	k141_1133309	terpene	terpene	3462	4620	0	1
ERR599168_k141_741930	ERR599168	k141_741930	terpene	terpene	11807	12824	0	1
