contigID	sample	contig	BGC category	BGC product	core start	core end	NRPS	PKS	other	terpene
SRR4465034_k141_258978	SRR4465034	k141_258978	terpene	terpene	10781	15110	0	0	0	1
SRR4465034_k141_1203522	SRR4465034	k141_1203522	terpene	terpene	27640	29997	0	0	0	1
SRR4465034_k141_1203723	SRR4465034	k141_1203723	terpene	terpene	17311	19672	0	0	0	1
SRR4465034_k141_1048885	SRR4465034	k141_1048885	terpene	terpene	4533	6886	0	0	0	1
SRR4465034_k141_111265	SRR4465034	k141_111265	terpene	terpene	16657	18322	0	0	0	1
SRR4465034_k141_205445	SRR4465034	k141_205445	terpene	terpene	13980	14766	0	0	0	1
SRR4465034_k141_1065618	SRR4465034	k141_1065618	terpene	terpene	17931	18771	0	0	0	1
SRR4465034_k141_378040	SRR4465034	k141_378040	other	phosphonate	19300	22370	0	0	1	0
SRR4465034_k141_551569	SRR4465034	k141_551569	terpene	terpene	5691	6864	0	0	0	1
SRR4465034_k141_301984	SRR4465034	k141_301984	terpene	terpene	24114	25269	0	0	0	1
SRR4465034_k141_1416648	SRR4465034	k141_1416648	NRPS	NRPS-like	7717	10981	1	0	0	0
SRR4465034_k141_1333907	SRR4465034	k141_1333907	PKS	T3PKS	1031	2456	0	1	0	0
SRR4465034_k141_582310	SRR4465034	k141_582310	terpene	terpene	981	3415	0	0	0	1
